ibz,pp,fb,sd,bid,cd,dsny,hc,cc_upcoming,cc,nycongress,sa,ss,nta,zipcode,hd
North Brooklyn,90;94;83,35;28,14;32,,301;304,BKN01;BKN04,30;34,33;34,33;34,7,50;53,59;18,Greenpoint;Bushwick North;Bushwick South;East Williamsburg,11206;11211;11222;11237,
Zerega,43;45,3;20,8;11,,209;210,BX09;BX10,26,18;13,18;13,14,87;82,34,Soundview-Castle Hill-Clason Point-Harding Park;Westchester-Unionport,10473;10461;10462;10465,
Ridgewood,83;104,51;28,32;24,,304;405,BKN04;QW05,34;46,37;34,37;34,7,54;38,12,Bushwick North;Ridgewood,11237;11385,
Rossville,123,23,31,,503,SI03,51,51,51,11,62,24,Charleston-Richmond Valley-Tottenville,10309,
Astoria,114;115,49,30,,401;480,QW01,42;43;41,22;21;19,22;21;19,14,27;35;34,11,Airport;Steinway;College Point,11105;11370;11371,
Jamaica,102;103,54;50,27;29;28,180th Street BID,412;409,QW09;QE12,45;44,28;27;29,28;27;29,5,29;32;24;33,14;15;11,St. Albans;Richmond Hill;South Jamaica;Jamaica,11418;11435;11433;11423,
Bathgate,42;48,17,9,,203;206,BX03;BX06,25,15,16;15,15,79;86,32,Mount Hope;Claremont-Bathgate,10457,
Eastchester,45;47,15,11,,210;212,BX10;BX12,24,13;12,13;12,14,82;83,34;36,Co-op City;Eastchester-Edenwald-Baychester,10475;10466,
JFK,106;113;105,54,27;29,Greater JFK,410;483;412;413,QE10;QE12;QE13,45;44,31;28,32;28;31,5,31;32,10,South Ozone Park;Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;park-cemetery-etc-Queens;Airport,11420;11430;11422;11413;11434,
Hunts Point,41,3;26,8,,202,BX02,23,17,17,14,85;84,29;32,Hunts Point,10474;10455,
Greenpoint/Williamsburg,94,35;28,14,,301,BKN01,30,33,33,7,50,59,North Side-South Side;Greenpoint,11249;11222,
Brooklyn Navy Yards,88,31,13;14,,302,BKN02,36,33,33,7,52,25,park-cemetery-etc-Brooklyn,11251;11249,
Southwest Brooklyn,78;72;76,48;40;32,20;15,,307;306,BKS07;BKS06,39;38;15,38;39;1,39;38;1,10,51;61;52,26,Sunset Park West;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;park-cemetery-etc-Manhattan,11220;11215;11232;11231;11201,
East New York,75;73,39;44,19;23,East Brooklyn?BID,305;316,BKN05;BKN16,33;34,42;37,42;37,8,60;55,25;19,East New York;East New York (Pennsylvania Ave);Brownsville,11207;11212,
Flatlands/Fairfield,69;75;63;67;73,41;39;58,19;18;22,,305;318;317;316,BKS18;BKN17;BKN05;BKN16,35;33,45;42,45;42;46,9;8,58;59;41;60,19;21,Canarsie;Flatlands;East Flatbush-Farragut;Rugby-Remsen Village;East New York;Brownsville,11210;11208;11234;11236;11203;11207,
Woodside,108,49,30,,402,QW02,42,26,26,6;7,30,12,Woodside,11377,
Long Island City,108;114,45,24;30,Long Island City;Sunnyside Shines,402;401,QW02;QW01,41,26,26,7,37;36,59;12,Hunters Point-Sunnyside-West Maspeth;Queensbridge-Ravenswood-Long Island City;Astoria,11101;11106,
Maspeth,104;108,46;45,24,,405;402,QW05;QW02,46;41,30;34;26,30;34;26,6;7,37,18;12,park-cemetery-etc-Queens;Ridgewood;Elmhurst-Maspeth;Maspeth;Hunters Point-Sunnyside-West Maspeth,11385;11378;11377;11101,
Staten Island West Shore,123;121,22,31,West Shore BID,502;501,SI02;SI01,51,50;49,50;49,11,62;63,24;23,New Springville-Bloomfield-Travis;Mariner's Harbor-Arlington-Port Ivory-Graniteville,10314;10303,
Staten Island North Shore,121;120,22,31,,501,SI01,51,49,49,11,63;61,23,Port Richmond;Mariner's Harbor-Arlington-Port Ivory-Graniteville;West New Brighton-New Brighton-St. George,10303;10310,
Port Morris,40,14,7,,201,BX01,23,8,8;17,15,84,29,Mott Haven-Port Morris,10451;10454;10455,
